Website,Category,Rank,Size,Business model,Login,Advertising,Safe,Unsafe,Primary,Secondary,Total,UnsafePrimary,UnsafeSecondary,UnsafeTotal,UnsafePrimaryNetChange,UnsafePrimaryAdd,UnsafePrimaryDrop,UnsafeSecondaryNetChange,UnsafeSecondaryAdd,UnsafeSecondaryDrop,UnsafeTotalNetChange,UnsafeTotalAdd,UnsafeTotalDrop,RespectDummy,Respect,AbuseObfuscate,AbuseDoNotObfuscate,ObfuscateLevel,TotalRespect,TotalDoNotObfuscate,TotalObfuscateLevel,AbuseDummy,ObfuscateDummy,Abuse,Obfuscate,SecondaryAbuseDummy,SecondaryObfuscateDummy,SecondaryAbuse,SecondaryObfuscate,TotalAbuseDummy,TotalObfuscateDummy,TotalAbuse,TotalObfuscate
Cnn.com,0,2,36044691,advertising,0,1,34,44,40,38,78,29,15,44,-2,0,2,-4,4,8,-6,4,10,1,2,0,0,0,10,4,0,0,0,0,2,0,1,4,12,0,0,0,14
Theguardian.com,0,4,30997730,"subscription, donation and advertising",1,1,20,27,15,32,47,12,15,27,2,3,1,-2,3,5,0,6,6,0,0,2,0,4,0,0,8,1,1,2,4,0,1,3,8,0,1,0,12
Shutterstock.com,0,6,9798436,subscription,1,0,20,41,16,45,61,14,27,41,0,0,0,-1,0,1,-1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Washingtonpost.com,0,8,31939942,subscription and advertising,1,1,26,48,28,46,74,22,26,48,-1,1,2,-19,0,19,-20,1,21,1,1,0,0,0,21,1,0,0,0,0,3,0,0,0,19,0,0,0,22
Forbes.com,0,10,33275162,subscription and advertising,1,1,28,48,10,66,76,8,40,48,0,0,0,-12,1,13,-12,1,13,1,0,0,0,0,13,1,0,0,0,0,0,0,1,1,14,0,0,0,14
Accuweather.com,0,12,11919015,subscription and advertising,1,1,63,72,34,101,135,24,48,72,-1,0,1,6,12,5,5,12,6,1,1,0,0,0,0,0,17,0,0,0,1,1,1,12,17,1,1,5,18
Cnbc.com,0,13,26801018,advertising,0,1,22,38,20,40,60,14,24,38,4,5,1,-8,3,11,-4,8,12,0,0,4,0,6,12,8,0,1,1,4,6,0,1,3,14,0,0,0,20
Usatoday.com,0,14,30504823,subscription and advertising,1,1,47,53,33,67,100,17,36,53,0,1,1,-8,4,12,-8,5,13,0,0,0,0,2,13,5,0,1,1,0,2,0,1,4,16,0,0,0,18
Bloomberg.com,0,15,18690094,subscription and advertising,1,1,2,1,1,2,3,0,1,1,9,8,0,19,21,1,28,29,1,0,0,0,9,8,0,0,22,1,0,9,8,1,1,21,22,1,1,28,30
Wsj.com,0,16,17850004,subscription and advertising,1,1,20,45,22,43,65,19,26,45,1,1,0,5,9,4,6,10,4,0,0,0,1,1,0,0,13,1,0,1,1,1,1,9,13,1,1,6,14
Chron.com,0,24,14488596,subscription and advertising,1,1,39,49,23,65,88,14,35,49,2,2,0,10,15,5,12,17,5,0,0,0,2,2,0,0,20,1,0,2,2,1,1,15,20,1,1,12,22
Thehill.com,0,26,16194530,advertising,0,1,22,42,23,41,64,16,26,42,0,1,1,-13,2,15,-13,3,16,0,0,0,0,2,16,3,0,1,1,0,2,0,1,2,17,0,0,0,19
Dw.com,0,29,1838309,advertising,0,1,11,23,12,22,34,9,14,23,0,0,0,1,11,10,1,11,10,1,0,0,0,0,0,0,21,0,0,0,0,1,1,11,21,1,1,1,21
Time.com,0,30,16383933,subscription and advertising,1,1,44,60,17,87,104,11,49,60,0,0,0,-7,8,15,-7,8,15,1,0,0,0,0,15,8,0,0,0,0,0,0,1,8,23,0,0,0,23
Theatlantic.com,0,31,14605079,subscription and advertising,1,1,9,25,10,24,34,9,16,25,0,0,0,2,3,1,2,3,1,1,0,0,0,0,0,0,4,0,0,0,0,1,1,3,4,1,1,2,4
Weather.gov,0,32,8919308,information,0,0,2,2,1,3,4,1,1,2,0,0,0,-1,0,1,-1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Thehindu.com,0,33,601452,subscription and advertising,1,1,20,23,20,24,44,17,6,23,-3,0,3,8,8,0,5,8,3,1,3,0,0,0,0,0,8,0,0,0,3,1,0,8,8,1,1,5,11
Thedailybeast.com,0,35,12389770,advertising,1,1,15,25,16,24,40,12,13,25,1,2,1,4,7,3,5,9,4,0,0,1,0,3,0,0,10,1,1,1,3,1,1,7,10,1,1,5,13
go.com,0,36,15352711,advertising and shopping,1,1,28,38,35,33,68,22,16,38,-4,0,3,-4,1,6,-8,1,9,1,4,0,0,0,9,1,0,0,0,0,3,0,1,1,7,0,0,0,10
Nationalgeographic.com,0,37,8660225,subscription,1,0,5,24,14,15,29,10,14,24,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,2,0,1,0,2,2,0,0,0,0,1,0,2,2
Latimes.com,0,40,13551608,subscription and advertising,1,1,38,46,24,62,86,20,26,46,1,3,1,16,24,9,17,27,10,0,0,1,0,4,0,0,33,1,1,1,4,1,1,24,33,1,1,17,37
Smh.com.au,0,45,1335253,subscription and advertising,1,1,8,17,15,10,25,11,6,17,2,2,0,1,1,0,3,3,0,0,0,0,2,2,0,3,1,1,0,2,2,1,0,1,1,1,0,3,3
Mathrubhumi.com,0,46,190998,subscription and advertising,1,1,19,32,15,36,51,11,21,32,-2,0,1,4,10,7,2,10,8,1,2,0,0,0,0,0,17,0,0,0,1,1,1,10,17,1,1,2,18
Economist.com,0,48,3890031,subscription and advertising,1,1,43,65,13,95,108,10,55,65,0,0,0,-18,0,18,-18,0,18,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,18,0,0,0,18
Chicagotribune.com,0,50,9011267,subscription and advertising,1,1,29,34,35,30,65,22,12,34,-1,1,2,12,12,2,11,13,4,1,1,0,0,0,0,0,14,0,0,0,3,1,1,12,14,1,1,11,17
Alarabiya.net,0,52,449743,sponsoring,0,0,8,16,9,15,24,7,9,16,0,0,0,-1,0,1,-1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Theconversation.com,0,54,3234799,sponsoring,1,0,0,5,4,1,5,4,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dailycaller.com,0,57,4143136,subscription and advertising,1,1,47,54,26,75,101,18,36,54,4,3,0,17,31,13,21,34,13,0,0,0,4,3,0,0,44,1,0,4,3,1,1,31,44,1,1,21,47
France24.com,0,59,1582156,subscription and advertising,1,1,17,35,11,41,52,9,26,35,1,2,1,-18,0,18,-17,2,19,0,0,1,0,3,19,2,0,1,1,1,3,0,0,0,18,0,0,0,21
Intellicast.com,0,61,2113681,information,1,0,15,17,10,22,32,8,9,17,2,2,0,14,16,2,16,18,2,0,0,0,2,2,0,0,18,1,0,2,2,1,1,16,18,1,1,16,20
Bankrate.com,0,63,7456209,information,1,0,11,27,12,26,38,9,18,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Theroot.com,0,66,6344822,advertising,1,1,35,36,28,43,71,17,19,36,-1,0,1,-3,5,8,-4,5,9,1,1,0,0,0,9,5,0,0,0,0,1,0,1,5,13,0,0,0,14
